name,cost
Beef - Flank Steak,82
Soup - Campbells - Chicken Noodle,66
Rice - Jasmine Sented,45
Beans - Wax,23
Juice - V8 Splash,59
Smirnoff Green Apple Twist,51
Rice - Jasmine Sented,70
Chicken - Livers,85
Orange Roughy 6/8 Oz,12
Oil - Shortening - All - Purpose,60
Foil - 4oz Custard Cup,14
Pastry - Chocolate Marble Tea,100
Sausage - Chorizo,15
The Pop Shoppe - Lime Rickey,5
Sunflower Seed Raw,76
"Sugar - Sweet N Low, Individual",49
Wine - Coteaux Du Tricastin Ac,97
Tofu - Soft,83
Allspice - Jamaican,10
Table Cloth 72x144 White,58
Flour - Teff,49
Bamboo Shoots - Sliced,4
"Pepper - Julienne, Frozen",79
Flour - Masa De Harina Mexican,33
Sugar - Cubes,83
Beef - Texas Style Burger,42
Figs,31
Passion Fruit,46
Onions - White,43
Peas - Frozen,41
Crab - Imitation Flakes,49
Table Cloth 81x81 White,63
Bread - Onion Focaccia,28
Beef - Striploin Aa,33
"Stock - Beef, Brown",43
Sprouts - Baby Pea Tendrils,65
Wonton Wrappers,98
Puff Pastry - Sheets,100
Puree - Strawberry,47
Corn Kernels - Frozen,47
Bread - 10 Grain,47
Oyster - In Shell,86
Passion Fruit,57
Kellogs All Bran Bars,12
Beans - Butter Lrg Lima,96
Beets,91
Venison - Denver Leg Boneless,5
Cookies Cereal Nut,33
"Cheese - Boursin, Garlic / Herbs",56
Sambuca - Ramazzotti,64
Grenadillo,44
Godiva White Chocolate,83
Ice Cream Bar - Drumstick,32
Tilapia - Fillets,39
Capers - Pickled,90
Allspice - Jamaican,86
Sauce - Vodka Blush,62
Lettuce - Sea / Sea Asparagus,44
"Coconut - Shredded, Unsweet",70
Gelatine Powder,68
French Pastry - Mini Chocolate,77
Rice - Jasmine Sented,76
Extract - Raspberry,7
Cake - Lemon Chiffon,16
Carrots - Mini Red Organic,44
Lamb - Rack,95
Puree - Raspberry,63
Wine - Port Late Bottled Vintage,33
Cleaner - Comet,69
Cookie Trail Mix,97
White Baguette,51
Tomatoes - Yellow Hot House,67
Shortbread - Cookie Crumbs,2
Crush - Cream Soda,77
"Bread - Roll, Soft White Round",72
Gooseberry,66
Muffin Mix - Banana Nut,12
Flour - All Purpose,18
Island Oasis - Mango Daiquiri,35
Beef - Sushi Flat Iron Steak,2
